trial_nr	array_nr	stim_nr	x	y
1.0	1	1	1.1616499299616385	1.0197950121826462
1.0	1	2	-1.8601666587690757	0.9050345337729776
1.0	1	3	4.515604654450555	-1.8304910762213014
1.0	1	4	-2.327647013316824	-3.027209609707546
1.0	1	5	-0.012253583804711659	-0.7931292044624619
1.0	1	6	0.38365100511348427	-1.655813878137354
1.0	1	7	1.7021921235479407	-0.7310917389866969
1.0	1	8	-0.43698593742140485	4.342343649117589
1.0	1	9	-0.17813356363110514	-1.953552274615614
1.0	1	10	0.45251536082117433	0.32580849303871595
1.0	1	11	-0.8237516671055819	-0.08331927304898798
1.0	1	12	-2.848183381207603	-2.054750982278107
1.0	1	13	-0.30778886749377016	0.40111663530131164
1.0	1	14	1.8955394699958052	1.5108835981475408
1.0	1	15	2.362245996362311	2.185866182969702
1.0	1	16	-3.5913539989775596	-3.289034290077874
1.0	1	17	-4.744864022941484	0.6260840324401553
1.0	1	18	-1.5798319758664203	-3.7027536884347425
1.0	1	19	-0.07943626048254122	1.286533268593576
1.0	1	20	0.5744101268082029	-4.327404817171643
1.0	2	1	-0.7583918323792203	0.5369862452315447
1.0	2	2	-0.19224382911790192	2.216965209347178
1.0	2	3	0.015819674737530265	-0.8258325350532609
1.0	2	4	0.018169520367436163	0.3007654216456254
1.0	2	5	1.0773287996313765	-1.348064406202356
1.0	2	6	1.405757487400969	0.17331247303438588
1.0	2	7	2.4197662972560385	3.8924330890244727
1.0	2	8	1.119104955394748	-0.45712515472988263
1.0	2	9	-1.839502651253184	-0.27689726535674575
1.0	2	10	-1.433468254713408	-0.7265522152454948
1.0	2	11	-2.5736347944454283	-3.1634363774717826
1.0	2	12	-2.799180554747396	0.1895213445655148
1.0	2	13	-1.5588508863605248	2.3321276114672878
1.0	2	14	-1.9964812731576087	4.1176366065238375
2.0	1	1	-0.5153833352549513	-2.0911038161819824
2.0	1	2	-1.6972708773872183	1.2167740953562929
2.0	1	3	-1.7121636134119296	-0.805136047488801
2.0	1	4	-0.8442764919616131	-0.1314873486783426
2.0	1	5	-0.13139134154768203	-0.02635447358322009
2.0	2	1	1.5981590321417858	-0.23286740982620066
2.0	2	2	-2.4756182159409588	-0.33711068695571816
2.0	2	3	-0.4327343189751099	2.7183828092818465
2.0	2	4	-0.9674375667615266	-0.9500303265879108
2.0	2	5	2.3822263586760344	-3.737721569943437
2.0	2	6	1.7998365559362042	3.7399046850192446
2.0	2	7	-2.144257569238544	-2.8881377707556473
2.0	2	8	0.407783194601391	1.2758857029792765
2.0	2	9	-2.282223519376482	1.9129761240265715
2.0	2	10	-0.6546271731568694	-3.5477712206793846
2.0	2	11	-0.2780358592832268	-1.1928015736244857
3.0	1	1	-2.8157866252073056	-0.8563176692023262
3.0	1	2	3.4248082944078746	-2.0453318576182893
3.0	1	3	-2.3565614876172236	-1.8362743002409756
3.0	1	4	-0.19763459993812652	-0.08649583737410171
3.0	1	5	0.08561476581543162	2.76596901487519
3.0	1	6	-0.5074201550850971	-0.6019170874763659
3.0	1	7	-1.6381716152605772	0.16065434632993036
3.0	1	8	-0.42872819228841763	-1.9288953026881601
3.0	1	9	2.5168476977446286	1.9952482005101342
3.0	1	10	-0.9929277819881003	1.3468446043447426
3.0	2	1	0.6667264389503406	-3.272017744490031
3.0	2	2	2.149490003232744	-0.5839515994350032
3.0	2	3	-1.2135373895778918	1.619234669472903
3.0	2	4	-0.11069165531446332	-0.4172730681140583
3.0	2	5	2.8813918482777656	-2.5350036271905205
3.0	2	6	0.9526649016088446	0.31216231227058494
3.0	2	7	1.071641220502245	3.054310249266797
3.0	2	8	2.8928494864311687	-0.292189262942777
4.0	1	1	0.3443710774372704	1.8166698794227558
4.0	1	2	0.36670654835040173	-0.44319868807135243
4.0	1	3	-0.5186673229890387	-4.2249540174595435
4.0	1	4	4.83141763035683	0.7409155360739141
4.0	1	5	1.4766493849144193	0.0012209022296450866
4.0	1	6	-0.5825331329841756	2.097512858751838
4.0	1	7	1.2301734258705308	2.623290676416312
4.0	2	1	-0.016382428342815336	0.5626723828606041
4.0	2	2	2.015919394955262	-3.0174548416776363
4.0	2	3	-0.8263057238584505	2.691908299407635
4.0	2	4	2.8354350432021294	3.5235229228501113
5.0	1	1	-1.2021956859906184	-3.180951615183115
5.0	1	2	0.14579904726493778	0.11544120357765139
5.0	1	3	-3.0559996696670124	3.7042745735059595
5.0	1	4	2.4599055794837112	-1.1305631727764722
5.0	1	5	2.104182553590852	4.342129716675376
5.0	2	1	-0.42408960591317635	1.9973845530118213
5.0	2	2	-3.9507618704455827	-0.9501108693640847
5.0	2	3	-0.3705106490282039	-1.9918429521993626
5.0	2	4	-0.4474594700700529	-1.127146459944794
5.0	2	5	1.5600763879491113	1.7199625578967694
5.0	2	6	-0.5439923362951536	-3.436525652840043
5.0	2	7	0.9676734219221742	3.8829836818476884
5.0	2	8	0.7538061235604938	0.09156594216018889
5.0	2	9	0.47479279486356435	-0.5011266727664967
5.0	2	10	-1.8049751011305615	3.868266252246306
6.0	1	1	-0.020361639182848848	-3.395929465362266
6.0	1	2	1.04871876582645	3.190054121100429
6.0	1	3	-2.6176935031183324	3.850047922890352
6.0	1	4	0.8329006873381818	0.06449975579882032
6.0	1	5	3.0035404509540036	-1.8680744753178005
6.0	2	1	4.420371471462064	-1.6124395290552382
7.0	1	1	0.09000173279154297	0.3318717318386446
7.0	1	2	-3.3165152031724396	-0.06388424545632951
7.0	1	3	-0.7805123407004589	1.883909770062572
7.0	1	4	1.469865540837275	2.867930490621453
7.0	1	5	0.4186714598798979	2.120333705859903
7.0	1	6	0.9375878873710757	0.1429701732145969
7.0	1	7	0.43604607558844016	-0.2002962597252692
7.0	1	8	3.4565094497288813	2.8760927310579905
7.0	1	9	1.6421450703879996	4.408442557692299
7.0	1	10	-0.6091896731069376	1.0900431836897393
7.0	1	11	0.3997534889136997	3.280275049251619
7.0	1	12	-1.5791823273225747	0.5708213546103159
7.0	1	13	-3.3552293033672504	-1.3551732509554921
7.0	1	14	-0.4974235536623653	-2.4000621284091714
7.0	2	1	-1.3556098372250072	-0.1299473592025041
7.0	2	2	1.143893182954661	1.3451073490320269
7.0	2	3	-0.019557379692661598	0.3535533582982263
7.0	2	4	-2.7415201761288106	2.049399129794712
7.0	2	5	0.02789054997077254	-0.903400166393534
7.0	2	6	-2.400344221804462	-2.9496507656407283
7.0	2	7	0.4974912995415999	-1.8049299249303614
7.0	2	8	-1.8103881317376664	-4.111061303478608
7.0	2	9	2.448841259110884	0.47683167354359757
8.0	1	1	2.0870069453510722	-3.9395230712922724
8.0	1	2	-2.262185993014115	1.8663557546100527
8.0	1	3	-1.2340804375994767	2.369799353762188
8.0	1	4	-0.38021096540649973	1.4709776690431717
8.0	1	5	-4.411279953078255	-0.021733767048483857
8.0	1	6	0.5833876998268087	1.864681424026281
8.0	1	7	0.15598780456259528	0.17790054993845095
8.0	1	8	-0.5820863992604225	-2.864667716619719
8.0	1	9	4.001029225834815	-0.7289793491026212
8.0	1	10	1.0943214407804482	-1.1232798620444564
8.0	1	11	-3.945851305607428	0.756862675895342
8.0	1	12	1.4749782829089157	1.9790753576464204
8.0	1	13	-1.8448237272710692	-0.7199613727637525
8.0	1	14	0.4486713058234481	2.743424088728359
8.0	2	1	-1.9098364195884248	-1.1745573427939302
8.0	2	2	0.7883890741148993	2.562398973404737
8.0	2	3	-1.490522784761867	-4.268949651955606
8.0	2	4	2.488463175509531	-0.8854899629101562
8.0	2	5	3.8678237114387946	-1.2405868943161624
8.0	2	6	0.745990312345495	0.32811028195260356
8.0	2	7	-1.3224549915997827	3.576851875448938
8.0	2	8	1.1097258275773088	-2.17229493792154
8.0	2	9	-2.9572356710757837	-0.8028666058345353
8.0	2	10	-1.1315309134751876	1.962831140294569
8.0	2	11	3.7876842211894424	2.5679421086246785
8.0	2	12	-0.002460273457605673	-0.1000750762643618
8.0	2	13	3.109119039152962	-1.5693909625993459
8.0	2	14	0.5394761804696176	-1.4282827018492483
8.0	2	15	1.8232454469340411	0.2626075919059014
8.0	2	16	-0.46484276594226775	3.8872641108735655
8.0	2	17	-1.1050675928948512	-0.38640948799039787
8.0	2	18	1.2011459625063141	1.0079619753026385
8.0	2	19	4.5470001312173105	-0.40462751565964417
8.0	2	20	-0.2780107442594931	2.484519114446378
8.0	2	21	-0.7152445766594467	4.830381496768436
8.0	2	22	-1.7526538899859903	-3.0534930623192285
8.0	2	23	2.7269957443464574	-2.8476547707982562
8.0	2	24	2.6412373115874157	1.924497174909176
8.0	2	25	1.2787642550734553	-0.5748210199101883
8.0	2	26	-0.20788612865647543	-1.636862900356152
8.0	2	27	-3.1762103671286765	2.180554075816704
8.0	2	28	2.328402758138548	2.87205340419288
8.0	2	29	0.8559247606717095	-2.9833409646333804
8.0	2	30	-0.9031981522550508	0.5286560961798523
8.0	2	31	1.5273310090811323	2.064134114123814
8.0	2	32	2.3213283917982865	4.023983887572356
8.0	2	33	-2.370027859560416	-3.192680584896566
8.0	2	34	-3.7998642480490945	-0.1617502549231336
8.0	2	35	3.8329134184148956	-2.749280484338746
8.0	2	36	0.5534960491137801	1.0259688525537916
8.0	2	37	-1.8165436361984384	-2.046900078210937
8.0	2	38	3.301741828494431	2.9772992098649382
8.0	2	39	-4.204141015155848	2.2182589227417524
9.0	1	1	-1.8642433871297097	4.383217758897784
9.0	1	2	0.008059974573205422	-0.0011215812698500516
9.0	1	3	4.699194561311831	-0.15909250570129824
9.0	1	4	1.9242081537878124	1.6534200407433512
9.0	1	5	-1.3711084009235017	-3.457408585548847
9.0	1	6	-2.1445874845329906	-0.33105618439611384
9.0	1	7	1.2084462844458037	-0.5063040509914957
9.0	2	1	-0.5209613332486477	0.3220655698454456
9.0	2	2	0.08468822024344895	0.268555633432759
9.0	2	3	3.4913862026680844	2.7048338587445735
9.0	2	4	1.056100411646172	0.5868349575073674
9.0	2	5	4.16137357016942	-1.4799840128899153
9.0	2	6	1.8502480218069306	-3.7263177233737843
9.0	2	7	-2.7462647207070803	-0.6208236561372511
9.0	2	8	-3.821332805187974	-1.1539161056776681
9.0	2	9	1.418035008119498	4.00416664513266
9.0	2	10	0.7319463732205894	-4.72938320795422
9.0	2	11	0.43772732744372667	1.4083465748445712
9.0	2	12	-1.8077759879976247	-4.2578337472675
9.0	2	13	-3.7508714835847186	-1.997045600244723
9.0	2	14	0.9379850540982086	-4.094997911147804
10.0	1	1	-0.6776336395916235	0.9349793835190366
10.0	1	2	0.6619122503848894	-3.9049105493634384
10.0	1	3	-1.7868060448772984	-4.579429846889445
10.0	1	4	-4.092970772673307	1.3455863563527257
10.0	1	5	-1.4666661644913443	-3.4302524105187593
10.0	1	6	0.5655853480224555	0.8161872791823284
10.0	1	7	2.072745982613827	-3.3066692635080983
10.0	2	1	0.5005142414137203	-3.2039500379194066
10.0	2	2	2.64118514480438	1.9187603332605945
10.0	2	3	3.5576678654108562	0.8263484804206379
10.0	2	4	-2.1486575364754947	1.3811685209077809
10.0	2	5	0.05302622210233945	-0.13595324641547937
10.0	2	6	-0.7322777621379727	4.238064603903034
10.0	2	7	4.348013892496548	-1.5992495075258026
10.0	2	8	-0.9926976475233301	-0.40667988709984526
11.0	1	1	-0.7362865057077949	0.15855355528459913
11.0	1	2	0.11773493147847364	-0.01450394900341772
11.0	1	3	-1.907120647981079	-0.03669368798682572
11.0	1	4	-3.8679878789174507	-0.11042133193152608
11.0	1	5	2.24778363127488	3.7117981001662
11.0	1	6	1.3813602662264637	0.08222824575238277
11.0	1	7	-4.611251817419312	-1.2979259427010619
11.0	2	1	-0.027525630270327967	0.2333416044292865
11.0	2	2	-0.25510130518062774	-0.5415579272013438
11.0	2	3	-0.18173254506443554	3.707491789564137
11.0	2	4	-2.599128191017172	0.1436737158917015
12.0	1	1	-0.053850923972474936	-0.4148765605634925
12.0	1	2	2.0318123250389606	4.406985187424297
12.0	1	3	-1.7352672461659395	-4.044638968815858
12.0	1	4	1.2232646147092558	0.6111912523044839
12.0	1	5	2.7920478755006704	1.012335205881711
12.0	1	6	-3.9362934840746258	1.6574172673531724
12.0	1	7	-3.341051549989281	-0.8447956377328433
12.0	1	8	-3.5336489041113173	0.25806646904999553
12.0	1	9	-2.7642147244777844	-3.5745045740010037
12.0	1	10	0.5512826827682152	0.24199752225111829
12.0	2	1	-4.279651759255466	0.9349456059645003
12.0	2	2	3.0885728843560103	-0.3406595873178962
12.0	2	3	0.19218280700951393	0.653124961364191
12.0	2	4	1.7158328808427201	-2.523169118160368
12.0	2	5	0.13113312346510705	1.264795026777364
12.0	2	6	0.7108922615735616	-4.008559742405606
12.0	2	7	-2.1044506187450778	-0.09521160696232434
12.0	2	8	-3.1209772917451954	0.46884530630517285
12.0	2	9	0.23365824112563738	4.098563113044219
12.0	2	10	-0.3492433439156864	0.11910524596710509
12.0	2	11	-0.08118007088248592	-0.9707403954339803
12.0	2	12	-1.1283442865696438	0.669985178410422
12.0	2	13	0.9942631234326232	0.10611773417943428
12.0	2	14	-0.4065945534423254	3.842140010020709
12.0	2	15	-1.9087082275468557	-0.8043847581387813
12.0	2	16	0.3399776927019796	-0.12330718475488263
13.0	1	1	3.6606329159636117	-0.1824654999450034
13.0	1	2	-0.5038659126931927	0.3971195692531668
13.0	1	3	-3.238622336922813	-0.885233165567346
13.0	1	4	-1.007216910355822	-2.902482440640719
13.0	1	5	3.3802312373452645	-1.0046633412309682
13.0	1	6	2.499854641934559	0.7932746086201166
13.0	1	7	2.3749656516824627	-2.3369330552749084
13.0	1	8	1.4174600400994624	2.129381934017707
13.0	1	9	3.180288362686172	-2.3177413554675375
13.0	1	10	-2.998750456773917	3.2746777684716175
13.0	2	1	-2.8219264267603728	1.0568573272116542
13.0	2	2	0.053189469968558785	-0.1445453048134465
13.0	2	3	2.1161436764111894	1.8611685225930186
13.0	2	4	-0.5764529708824568	0.5810749998061013
13.0	2	5	-0.4244558026283844	-3.40461788005942
14.0	1	1	1.8479181344629523	0.7858480389435202
14.0	1	2	-0.614850916031835	-0.3619799291156285
14.0	1	3	1.4479414825229249	-3.797852178779164
14.0	1	4	3.5261606131268417	3.3598324906483192
14.0	1	5	-1.6029786862206516	0.007206273424053884
14.0	1	6	-2.289646085120269	-0.5970007758757377
14.0	1	7	-2.9824044670165866	2.8767685147465465
14.0	1	8	-0.35774287771319696	-1.1636984962299188
14.0	1	9	1.9487081069799699	-2.8984199657050955
14.0	1	10	0.3611890536380562	1.341847092018883
14.0	1	11	-1.7693663903198922	4.394830437956567
14.0	1	12	2.0259595190012467	4.350851829946163
14.0	1	13	-1.6313762422529083	-1.0861249825653039
14.0	1	14	3.4821575820076967	-0.28981869399107935
14.0	1	15	1.20164914835959	-0.9479349524063301
14.0	1	16	0.6502570880050728	3.9550794359633388
14.0	1	17	2.734983198901618	0.7593441141230797
14.0	1	18	3.2770495311189562	-2.240673113086055
14.0	1	19	0.8335533647696147	-2.009745101118907
14.0	1	20	0.05381362557854701	0.043052517423155266
14.0	2	1	-0.028951766845748926	-2.579520402230796
14.0	2	2	1.953238988721775	-3.5352690966477627
14.0	2	3	0.14721866476631446	-0.521780992472501
14.0	2	4	-1.1699674050839393	-3.266135502634626
14.0	2	5	2.83775352967298	1.8247049187495221
14.0	2	6	0.6295210394123194	2.696629066684266
14.0	2	7	1.644748981976815	-0.31876150382025437
14.0	2	8	-0.08789962582750059	0.27418775620568747
14.0	2	9	3.16786353235075	0.186703069017421
14.0	2	10	-2.9125306077815236	3.0020784200299078
14.0	2	11	0.5174774988086562	0.31403905972995066
14.0	2	12	-3.4822855419574172	-2.4260117951130304
14.0	2	13	-3.140413235846014	0.11164313135756818
14.0	2	14	-0.1928471053209261	1.5518719125401943
14.0	2	15	2.126938484955975	2.2674681995023405
14.0	2	16	-2.888828313222326	-3.027710078989242
14.0	2	17	4.555116903972007	-1.1116626292360579
14.0	2	18	1.5718727099356402	-1.0354542257227508
14.0	2	19	2.6988704878573455	1.2300301914458744
14.0	2	20	-2.588495537769136	-0.8986558000807664
14.0	2	21	0.9336912653616833	-0.13504264424943052
14.0	2	22	2.420925159975222	0.132289865079856
14.0	2	23	-3.4092199127005816	1.0201155070615695
14.0	2	24	1.469703204856661	0.7505937119023958
14.0	2	25	2.8362168912436143	-1.2591167484379857
14.0	2	26	-1.4001400072191852	-1.8595353754924517
14.0	2	27	1.0844735791804305	-2.0531620981696475
14.0	2	28	1.880972974881813	3.5933959959339474
14.0	2	29	2.2521888811730943	-0.6808953897892134
14.0	2	30	1.7959412991616164	1.4264216035253456
14.0	2	31	-1.1756658016712194	1.7563157839874184
14.0	2	32	-0.996022454562023	-0.4829909061142799
14.0	2	33	-1.3793045546545781	1.028059090069094
14.0	2	34	-2.2053619213015603	4.19921117631489
14.0	2	35	-2.5139557125377325	-1.6784684809835062
14.0	2	36	-1.3069685272018399	2.813222707767494
14.0	2	37	-3.768943081344915	-3.012858809725603
14.0	2	38	-0.290443799789961	2.370191537101271
14.0	2	39	-0.9524260204548971	-4.652744859006326
14.0	2	40	-4.219757454413377	-0.6785666648756999
14.0	2	41	-1.3593269361257754	3.4351268466391978
14.0	2	42	-3.1905879057706255	-0.7577118876124308
14.0	2	43	1.5561823215810986	4.5175084563937355
14.0	2	44	-1.622035096239617	-0.2734894222786175
14.0	2	45	-2.4918683718199985	1.436308374094378
14.0	2	46	2.869609265601785	-2.299366729419791
14.0	2	47	4.070007605023311	0.07294787881344612
14.0	2	48	-0.24065263620275906	0.8734180072436023
14.0	2	49	-2.016288687369701	-2.0961352249223593
14.0	2	50	-2.1832608662835513	-3.5473810048055623
14.0	2	51	0.4342174964517037	1.5629876039531094
14.0	2	52	1.0769171266062711	1.7894650462435056
14.0	2	53	3.395923750693437	2.7780726914766016
14.0	2	54	-1.7574063357423493	-1.0307108992759935
14.0	2	55	0.05948166304931443	-3.3705281227793016
14.0	2	56	4.050448523279028	1.082132458252654
15.0	1	1	4.05277556485898	2.147293304423293
15.0	1	2	1.2134720642184726	2.7946678383013492
