trial_nr	onset	event_type	phase	response	nr_frames	n1	n2	onset_abs	duration
1.0	0.0024932916276156902	stim	0		716			1.1280370416352525	11.513023208361119
1.0	11.512596833286807	response	0	j				12.638140583294444	
0.0	11.515516499988735	stim	0		1			12.641060249996372	0.03513595834374428
0.0	11.550652458332479	stim	1		1			12.676196208340116	0.01779433328192681
0.0	11.568446791614406	stim	2		1			12.693990541622043	0.014713166747242212
0.0	11.583159958361648	stim	3		1			12.708703708369285	0.01648645824752748
1.0	11.599646416609176	stim	0		16	20.0	14.0	12.725190166616812	0.26661195838823915
1.0	11.866258374997415	stim	1		18	20.0	14.0	12.991802125005051	0.2999297499191016
1.0	12.166188124916516	stim	2		30	20.0	14.0	13.291731874924153	0.5003116250736639
1.0	12.66649974999018	stim	3		38	20.0	14.0	13.792043499997817	0.5997985416324809
1.0	13.266298291622661	stim	4		138	20.0	14.0	14.391842041630298	2.3083107917336747
1.0	13.950749166542664	response	4	escape		20.0	14.0	15.076292916550301	
